ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
1.099999756808473421e+02,5.768920527555177102e+01,-1.178398773200002303e+01
1.099999756809926055e+02,5.768920527540660714e+01,-1.178398773200002303e+01
1.099999756811233311e+02,5.768920527527595965e+01,-1.178398773200002303e+01
1.099999756812409828e+02,5.768920527515838614e+01,-1.178398773200002303e+01
1.099999756813468821e+02,5.768920527505255791e+01,-1.178398773200002303e+01
1.099999756814421801e+02,5.768920527495732387e+01,-1.178398773200002303e+01
1.099999756815279568e+02,5.768920527487159688e+01,-1.178398773200002303e+01
1.099999756816051502e+02,5.768920527479445326e+01,-1.178398773200002303e+01
1.099999756816746270e+02,5.768920527472501192e+01,-1.178398773200002303e+01
1.099999756817371548e+02,5.768920527466251968e+01,-1.178398773200002303e+01
1.099999756817934298e+02,5.768920527460628023e+01,-1.178398773200002303e+01
1.099999756818440773e+02,5.768920527455565406e+01,-1.178398773200002303e+01
1.099999756818896515e+02,5.768920527451010116e+01,-1.178398773200002303e+01
1.099999756819306924e+02,5.768920527446909574e+01,-1.178398773200002303e+01
1.099999756819676122e+02,5.768920527443219726e+01,-1.178398773200002303e+01
1.099999756820008372e+02,5.768920527439899359e+01,-1.178398773200002303e+01
1.099999756820307510e+02,5.768920527436910817e+01,-1.178398773200002303e+01
1.099999756820576664e+02,5.768920527434221412e+01,-1.178398773200002303e+01
1.099999756820818959e+02,5.768920527431800593e+01,-1.178398773200002303e+01
1.099999756821036954e+02,5.768920527429621359e+01,-1.178398773200002303e+01
1.099999756821233206e+02,5.768920527427660971e+01,-1.178398773200002303e+01
1.099999756821409704e+02,5.768920527425895983e+01,-1.178398773200002303e+01
1.099999756821568582e+02,5.768920527424307210e+01,-1.178398773200002303e+01
1.099999756821711685e+02,5.768920527422876887e+01,-1.178398773200002303e+01
1.099999756821840435e+02,5.768920527421590805e+01,-1.178398773200002303e+01
1.099999756821956254e+02,5.768920527420433331e+01,-1.178398773200002303e+01
1.099999756822060561e+02,5.768920527419390964e+01,-1.178398773200002303e+01
1.099999756822154495e+02,5.768920527418453759e+01,-1.178398773200002303e+01
1.099999756822238908e+02,5.768920527417608923e+01,-1.178398773200002303e+01
1.099999756822315078e+02,5.768920527416849353e+01,-1.178398773200002303e+01
1.099999756822383432e+02,5.768920527416166522e+01,-1.178398773200002303e+01
1.099999756822445107e+02,5.768920527415550481e+01,-1.178398773200002303e+01
