ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
1.106257975817330616e-03,-2.891279597930198481e-03,-2.813654461144514136e-03
1.106261938157837967e-03,-2.891274492454616683e-03,-2.813655958957905680e-03
1.106265503269779522e-03,-2.891269898152244982e-03,-2.813657306726561908e-03
1.106268710876011363e-03,-2.891265763905762932e-03,-2.813658519454957912e-03
1.106271596727103962e-03,-2.891262043709579271e-03,-2.813659610647117112e-03
1.106274192998571307e-03,-2.891258696158667454e-03,-2.813660592456666137e-03
1.106276528648376164e-03,-2.891255683988498346e-03,-2.813661475821864402e-03
1.106278629738685279e-03,-2.891252973660998152e-03,-2.813662270587147067e-03
1.106280519725447858e-03,-2.891250534991899896e-03,-2.813662985612505000e-03
1.106282219719017818e-03,-2.891248340815363686e-03,-2.813663628871932061e-03
1.106283748718715071e-03,-2.891246366682133535e-03,-2.813664207542020471e-03
1.106285123823927711e-03,-2.891244590587877927e-03,-2.813664728081704744e-03
1.106286360424103268e-03,-2.891242992728699189e-03,-2.813665196304023300e-03
1.106287472369745168e-03,-2.891241555281091197e-03,-2.813665617440715225e-03
1.106288472126308728e-03,-2.891240262203895097e-03,-2.813665996200341753e-03
1.106289370912698876e-03,-2.891239099060071652e-03,-2.813666336820608987e-03
1.106290178825935621e-03,-2.891238052856281385e-03,-2.813666643115455245e-03
1.106290904953332547e-03,-2.891237111898522626e-03,-2.813666918517419933e-03
1.106291557473474850e-03,-2.891236265662191184e-03,-2.813667166115791859e-03
1.106292143747087406e-03,-2.891235504675144802e-03,-2.813667388690931602e-03
1.106292670398822866e-03,-2.891234820412455758e-03,-2.813667588745160427e-03
1.106293143390870521e-03,-2.891234205201687578e-03,-2.813667768530570944e-03
1.106293568089196724e-03,-2.891233652137647266e-03,-2.813667930074045288e-03
1.106293949323175138e-03,-2.891233155005663250e-03,-2.813668075199774864e-03
1.106294291439240433e-03,-2.891232708212529944e-03,-2.813668205549536231e-03
1.106294598349184723e-03,-2.891232306724361278e-03,-2.813668322600925645e-03
1.106294873573618678e-03,-2.891231946010661049e-03,-2.813668427683779522e-03
1.106295120281093874e-03,-2.891231621993983845e-03,-2.813668521994952543e-03
1.106295341323306836e-03,-2.891231331004624500e-03,-2.813668606611612142e-03
1.106295539266781598e-03,-2.891231069739854265e-03,-2.813668682503210269e-03
1.106295716421394843e-03,-2.891230835227212321e-03,-2.813668750542252118e-03
1.106295874866031811e-03,-2.891230624791487052e-03,-2.813668811513994096e-03
