q0 (),q1,q2,q3
4.591975964355464179e-01,-4.446816889969955056e-01,2.016096272039646919e-01,7.421248689521695585e-01
4.591970496235678878e-01,-4.446810173078579731e-01,2.016082586277517796e-01,7.421259815665696147e-01
4.591965574901437641e-01,-4.446804127843824728e-01,2.016070269107569368e-01,7.421269829182318700e-01
4.591961145679208656e-01,-4.446798687106207071e-01,2.016059183667550658e-01,7.421278841336763632e-01
4.591957159361859109e-01,-4.446793790421014747e-01,2.016049206782010716e-01,7.421286952267245329e-01
4.591953571662196754e-01,-4.446789383387061978e-01,2.016040227593510203e-01,7.421294252097784261e-01
4.591950342721122791e-01,-4.446785417042505295e-01,2.016032146330734576e-01,7.421300821939679215e-01
4.591947436664939319e-01,-4.446781847321067405e-01,2.016024873199803724e-01,7.421306734792859627e-01
4.591944821206907501e-01,-4.446778634562589261e-01,2.016018327386476239e-01,7.421312056357053377e-01
4.591942467288631091e-01,-4.446775743072519660e-01,2.016012436158133581e-01,7.421316845761859460e-01
4.591940348757287405e-01,-4.446773140725431839e-01,2.016007134055585737e-01,7.421321156223780191e-01
4.591938442075106930e-01,-4.446770798608171704e-01,2.016002362165688622e-01,7.421325035637559298e-01
4.591936726057931906e-01,-4.446768690698684745e-01,2.015998067466722721e-01,7.421328527108383977e-01
4.591935181639872909e-01,-4.446766793576943932e-01,2.015994202239226318e-01,7.421331669430847322e-01
4.591933791661511055e-01,-4.446765086164783387e-01,2.015990723535753815e-01,7.421334497520026829e-01
4.591932540679275476e-01,-4.446763549491737910e-01,2.015987592703659403e-01,7.421337042799451833e-01
4.591931414793881117e-01,-4.446762166484296008e-01,2.015984774955610348e-01,7.421339333550255324e-01
4.591930401495905589e-01,-4.446760921776218844e-01,2.015982238983043406e-01,7.421341395225425908e-01
4.591929489526820340e-01,-4.446759801537833456e-01,2.015979956608281443e-01,7.421343250732634900e-01
4.591928668753907927e-01,-4.446758793322381775e-01,2.015977902471439709e-01,7.421344920688761615e-01
4.591927930057690954e-01,-4.446757885927742904e-01,2.015976053748641528e-01,7.421346423648982338e-01
4.591927265230614230e-01,-4.446757069271975449e-01,2.015974389898415597e-01,7.421347776312946509e-01
4.591926666885852715e-01,-4.446756334281303236e-01,2.015972892433446906e-01,7.421348993710320530e-01
4.591926128375253269e-01,-4.446755672789308722e-01,2.015971544715167707e-01,7.421350089367803049e-01
4.591925643715457084e-01,-4.446755077446198356e-01,2.015970331768870416e-01,7.421351075459410307e-01
4.591925207521431740e-01,-4.446754541637143454e-01,2.015969240117328476e-01,7.421351962941754588e-01
4.591924814946641842e-01,-4.446754059408787318e-01,2.015968257631041427e-01,7.421352761675783505e-01
4.591924461629192100e-01,-4.446753625403099819e-01,2.015967373393466044e-01,7.421353480536342362e-01
4.591924143643380529e-01,-4.446753234797845011e-01,2.015966577579715313e-01,7.421354127510790821e-01
4.591923857456057800e-01,-4.446752883253005662e-01,2.015965861347393528e-01,7.421354709787749693e-01
4.591923599887397511e-01,-4.446752566862560152e-01,2.015965216738347388e-01,7.421355233836978149e-01
4.591923368075542800e-01,-4.446752282111088306e-01,2.015964636590241721e-01,7.421355705481252896e-01
4.591923159444826208e-01,-4.446752025834705413e-01,2.015964114456974543e-01,7.421356129961080850e-01
4.591922971677142029e-01,-4.446751795185913125e-01,2.015963644537058230e-01,7.421356511992902583e-01
4.591922802686197458e-01,-4.446751587601961431e-01,2.015963221609151645e-01,7.421356855821529264e-01
4.591922650594320587e-01,-4.446751400776374763e-01,2.015962840974051817e-01,7.421357165267280509e-01
4.591922513711610976e-01,-4.446751232633321393e-01,2.015962498402474323e-01,7.421357443768447082e-01
4.591922390517156338e-01,-4.446751081304551323e-01,2.015962190088064210e-01,7.421357694419487006e-01
4.591922279642133287e-01,-4.446750945108643438e-01,2.015961912605102602e-01,7.421357920005419162e-01
4.591922179854601715e-01,-4.446750822532312131e-01,2.015961662870444093e-01,7.421358123032749665e-01
4.591922090045814642e-01,-4.446750712213604073e-01,2.015961438109258042e-01,7.421358305757345120e-01
4.591922009217900280e-01,-4.446750612926757551e-01,2.015961235824193509e-01,7.421358470209477032e-01
4.591921936472768695e-01,-4.446750523568588354e-01,2.015961053767638678e-01,7.421358618216392644e-01
4.591921871002148103e-01,-4.446750443146229581e-01,2.015960889916743048e-01,7.421358751422615363e-01
4.591921812078584852e-01,-4.446750370766104354e-01,2.015960742450937926e-01,7.421358871308213478e-01
4.591921759047374874e-01,-4.446750305623985988e-01,2.015960609731717312e-01,7.421358979205249229e-01
4.591921711319282284e-01,-4.446750246996077349e-01,2.015960490284418316e-01,7.421359076312580294e-01
4.591921668363998510e-01,-4.446750194230956188e-01,2.015960382781851468e-01,7.421359163709176920e-01
4.591921629704242003e-01,-4.446750146742346477e-01,2.015960286029542803e-01,7.421359242366113440e-01
4.591921594910458593e-01,-4.446750104002595294e-01,2.015960198952464755e-01,7.421359313157358528e-01
4.591921563596052525e-01,-4.446750065536817509e-01,2.015960120583095705e-01,7.421359376869474112e-01
4.591921535413086564e-01,-4.446750030917617225e-01,2.015960050050663588e-01,7.421359434210380579e-01
4.591921510048416755e-01,-4.446749999760334915e-01,2.015959986571475293e-01,7.421359485817193846e-01
4.591921487220212983e-01,-4.446749971718780281e-01,2.015959929440205856e-01,7.421359532263327452e-01
4.591921466674828145e-01,-4.446749946481381999e-01,2.015959878022063889e-01,7.421359574064847475e-01
4.591921448183983734e-01,-4.446749923767722157e-01,2.015959831745736675e-01,7.421359611686215718e-01
4.591921431542220766e-01,-4.446749903325427078e-01,2.015959790097041626e-01,7.421359645545444472e-01
4.591921416564636038e-01,-4.446749884927362340e-01,2.015959752613217804e-01,7.421359676018752793e-01
4.591921403084809894e-01,-4.446749868369104242e-01,2.015959718877775031e-01,7.421359703444729838e-01
4.591921390952964366e-01,-4.446749853466671065e-01,2.015959688515877035e-01,7.421359728128107403e-01
4.591921380034303390e-01,-4.446749840054481373e-01,2.015959661190169228e-01,7.421359750343148320e-01
4.591921370207509567e-01,-4.446749827983511039e-01,2.015959636597032256e-01,7.421359770336685147e-01
4.591921361363393017e-01,-4.446749817119636794e-01,2.015959614463208316e-01,7.421359788330867957e-01
4.591921353403690120e-01,-4.446749807342149641e-01,2.015959594542767741e-01,7.421359804525632375e-01
4.591921346239957735e-01,-4.446749798542411480e-01,2.015959576614370641e-01,7.421359819100920019e-01
4.591921339792596202e-01,-4.446749790622646636e-01,2.015959560478812751e-01,7.421359832218680230e-01
4.591921333989972820e-01,-4.446749783494858832e-01,2.015959545956811927e-01,7.421359844024663088e-01
4.591921328767611388e-01,-4.446749777079849753e-01,2.015959532887010575e-01,7.421359854650048105e-01
4.591921324067485544e-01,-4.446749771306341414e-01,2.015959521124189580e-01,7.421359864212894175e-01
4.591921319837372062e-01,-4.446749766110183466e-01,2.015959510537649324e-01,7.421359872819456305e-01
4.591921316030269651e-01,-4.446749761433642090e-01,2.015959501009764177e-01,7.421359880565362444e-01
4.591921312603879368e-01,-4.446749757224754962e-01,2.015959492434667155e-01,7.421359887536679301e-01
4.591921309520126671e-01,-4.446749753436755603e-01,2.015959484717080863e-01,7.421359893810861585e-01
4.591921306744749520e-01,-4.446749750027557124e-01,2.015959477771252784e-01,7.421359899457626863e-01
4.591921304246909807e-01,-4.446749746959277050e-01,2.015959471520007429e-01,7.421359904539714947e-01
4.591921301998854177e-01,-4.446749744197827092e-01,2.015959465893886748e-01,7.421359909113595110e-01
4.591921299975603721e-01,-4.446749741712521242e-01,2.015959460830377137e-01,7.421359913230087813e-01
4.591921298154677533e-01,-4.446749739475745478e-01,2.015959456273219708e-01,7.421359916934927581e-01
4.591921296515845130e-01,-4.446749737462647456e-01,2.015959452171778021e-01,7.421359920269288146e-01
4.591921295040896633e-01,-4.446749735650858959e-01,2.015959448480480476e-01,7.421359923270210990e-01
4.591921293713442931e-01,-4.446749734020249978e-01,2.015959445158311825e-01,7.421359925971040550e-01
4.591921292518733599e-01,-4.446749732552701673e-01,2.015959442168361038e-01,7.421359928401788375e-01
4.591921291443494813e-01,-4.446749731231908198e-01,2.015959439477404413e-01,7.421359930589459530e-01
4.591921290475780570e-01,-4.446749730043194071e-01,2.015959437055543924e-01,7.421359932558365680e-01
4.591921289604837808e-01,-4.446749728973350413e-01,2.015959434875869705e-01,7.421359934330379327e-01
4.591921288820990932e-01,-4.446749728010492286e-01,2.015959432914162797e-01,7.421359935925192497e-01
4.591921288115525246e-01,-4.446749727143919917e-01,2.015959431148625636e-01,7.421359937360525461e-01
4.591921287480609237e-01,-4.446749726364003785e-01,2.015959429559643079e-01,7.421359938652324351e-01
4.591921286909182998e-01,-4.446749725662080266e-01,2.015959428129557862e-01,7.421359939814943241e-01
4.591921286394900492e-01,-4.446749725030347822e-01,2.015959426842481861e-01,7.421359940861300686e-01
4.591921285932046848e-01,-4.446749724461789843e-01,2.015959425684113737e-01,7.421359941803021831e-01
4.591921285515476736e-01,-4.446749723950087496e-01,2.015959424641581843e-01,7.421359942650570529e-01
4.591921285140564413e-01,-4.446749723489555883e-01,2.015959423703303777e-01,7.421359943413364801e-01
4.591921284803142655e-01,-4.446749723075076877e-01,2.015959422858854544e-01,7.421359944099878980e-01
4.591921284499465017e-01,-4.446749722702044716e-01,2.015959422098848042e-01,7.421359944717742518e-01
4.591921284226154198e-01,-4.446749722366317159e-01,2.015959421414843522e-01,7.421359945273818814e-01
4.591921283980173740e-01,-4.446749722064162191e-01,2.015959420799239010e-01,7.421359945774289590e-01
4.591921283758791938e-01,-4.446749721792221943e-01,2.015959420245194700e-01,7.421359946224712623e-01
4.591921283559548539e-01,-4.446749721547476053e-01,2.015959419746555237e-01,7.421359946630091686e-01
4.591921283380228647e-01,-4.446749721327204474e-01,2.015959419297779220e-01,7.421359946994933177e-01
4.591921283218842742e-01,-4.446749721128960831e-01,2.015959418893881749e-01,7.421359947323291628e-01
4.591921283073593374e-01,-4.446749720950541329e-01,2.015959418530373082e-01,7.421359947618814124e-01
4.591921282942868499e-01,-4.446749720789963667e-01,2.015959418203216169e-01,7.421359947884782482e-01
4.591921282825217054e-01,-4.446749720645444826e-01,2.015959417908774753e-01,7.421359948124157668e-01
4.591921282719330644e-01,-4.446749720515376647e-01,2.015959417643777840e-01,7.421359948339592005e-01
4.591921282624032430e-01,-4.446749720398315286e-01,2.015959417405279175e-01,7.421359948533483575e-01
4.591921282538266036e-01,-4.446749720292960673e-01,2.015959417190632263e-01,7.421359948707986209e-01
4.591921282461074449e-01,-4.446749720198140965e-01,2.015959416997448739e-01,7.421359948865039469e-01
4.591921282391603354e-01,-4.446749720112803672e-01,2.015959416823583927e-01,7.421359949006386403e-01
4.591921282329078369e-01,-4.446749720035999554e-01,2.015959416667105764e-01,7.421359949133599088e-01
4.591921282272805604e-01,-4.446749719966875958e-01,2.015959416526274528e-01,7.421359949248089727e-01
4.591921282222160561e-01,-4.446749719904665721e-01,2.015959416399527582e-01,7.421359949351133967e-01
4.591921282176580354e-01,-4.446749719848674953e-01,2.015959416285454664e-01,7.421359949443870896e-01
4.591921282135557614e-01,-4.446749719798284706e-01,2.015959416182789565e-01,7.421359949527335242e-01
4.591921282098636592e-01,-4.446749719752932650e-01,2.015959416090390421e-01,7.421359949602451822e-01
4.591921282065407617e-01,-4.446749719712115856e-01,2.015959416007230276e-01,7.421359949670058853e-01
4.591921282035503205e-01,-4.446749719675380796e-01,2.015959415932387366e-01,7.421359949730904626e-01
4.591921282008587513e-01,-4.446749719642319465e-01,2.015959415865028470e-01,7.421359949785665266e-01
4.591921281984364667e-01,-4.446749719612563823e-01,2.015959415804405852e-01,7.421359949834949177e-01
4.591921281962563772e-01,-4.446749719585784133e-01,2.015959415749845052e-01,7.421359949879305917e-01
4.591921281942942801e-01,-4.446749719561682301e-01,2.015959415700740720e-01,7.421359949919227317e-01
4.591921281925283593e-01,-4.446749719539990764e-01,2.015959415656546072e-01,7.421359949955155244e-01
4.591921281909389640e-01,-4.446749719520468602e-01,2.015959415616771777e-01,7.421359949987490490e-01
4.591921281895087747e-01,-4.446749719502898213e-01,2.015959415580974856e-01,7.421359950016593876e-01
4.591921281882214156e-01,-4.446749719487085306e-01,2.015959415548757572e-01,7.421359950042785147e-01
4.591921281870627869e-01,-4.446749719472853357e-01,2.015959415519761877e-01,7.421359950066358513e-01
4.591921281860201765e-01,-4.446749719460043604e-01,2.015959415493666085e-01,7.421359950087572654e-01
4.591921281850815939e-01,-4.446749719448516158e-01,2.015959415470179594e-01,7.421359950106666270e-01
4.591921281842370473e-01,-4.446749719438141124e-01,2.015959415449041225e-01,7.421359950123850302e-01
4.591921281834768775e-01,-4.446749719428803593e-01,2.015959415430016999e-01,7.421359950139317929e-01
4.591921281827928136e-01,-4.446749719420399760e-01,2.015959415412896250e-01,7.421359950153235685e-01
4.591921281821770284e-01,-4.446749719412836921e-01,2.015959415397486909e-01,7.421359950165763442e-01
4.591921281816228051e-01,-4.446749719406029588e-01,2.015959415383618003e-01,7.421359950177037756e-01
4.591921281811240374e-01,-4.446749719399903933e-01,2.015959415371136876e-01,7.421359950187185195e-01
4.591921281806751187e-01,-4.446749719394390565e-01,2.015959415359903084e-01,7.421359950196319000e-01
4.591921281802712751e-01,-4.446749719389428424e-01,2.015959415349793393e-01,7.421359950204537981e-01
4.591921281799076215e-01,-4.446749719384961996e-01,2.015959415340695116e-01,7.421359950211934287e-01
4.591921281795804388e-01,-4.446749719380943544e-01,2.015959415332506111e-01,7.421359950218591184e-01
4.591921281792859522e-01,-4.446749719377325882e-01,2.015959415325135617e-01,7.421359950224584168e-01
4.591921281790207754e-01,-4.446749719374069598e-01,2.015959415318501757e-01,7.421359950229975411e-01
4.591921281787823550e-01,-4.446749719371139720e-01,2.015959415312531811e-01,7.421359950234830416e-01
4.591921281785676379e-01,-4.446749719368502385e-01,2.015959415307158609e-01,7.421359950239199144e-01
4.591921281783744591e-01,-4.446749719366128728e-01,2.015959415302323032e-01,7.421359950243129333e-01
4.591921281782006536e-01,-4.446749719363991549e-01,2.015959415297970680e-01,7.421359950246667614e-01
4.591921281780441677e-01,-4.446749719362068642e-01,2.015959415294053259e-01,7.421359950249851734e-01
4.591921281779032804e-01,-4.446749719360338360e-01,2.015959415290528023e-01,7.421359950252718329e-01
4.591921281777764929e-01,-4.446749719358781272e-01,2.015959415287355561e-01,7.421359950255296267e-01
4.591921281776623620e-01,-4.446749719357380171e-01,2.015959415284499789e-01,7.421359950257618854e-01
4.591921281775596109e-01,-4.446749719356118957e-01,2.015959415281930178e-01,7.421359950259707183e-01
4.591921281774671848e-01,-4.446749719354984309e-01,2.015959415279617584e-01,7.421359950261587901e-01
4.591921281773840291e-01,-4.446749719353962349e-01,2.015959415277535638e-01,7.421359950263280991e-01
4.591921281773091446e-01,-4.446749719353042529e-01,2.015959415275662137e-01,7.421359950264803107e-01
4.591921281772417540e-01,-4.446749719352215413e-01,2.015959415273976818e-01,7.421359950266173122e-01
4.591921281771811358e-01,-4.446749719351471009e-01,2.015959415272459143e-01,7.421359950267407690e-01
4.591921281771265129e-01,-4.446749719350800434e-01,2.015959415271093569e-01,7.421359950268517913e-01
4.591921281770775520e-01,-4.446749719350197028e-01,2.015959415269864552e-01,7.421359950269517114e-01
4.591921281770332541e-01,-4.446749719349653018e-01,2.015959415268757660e-01,7.421359950270415284e-01
4.591921281769935637e-01,-4.446749719349165075e-01,2.015959415267762345e-01,7.421359950271225747e-01
4.591921281769576479e-01,-4.446749719348725427e-01,2.015959415266866395e-01,7.421359950271954053e-01
4.591921281769255070e-01,-4.446749719348329632e-01,2.015959415266060373e-01,7.421359950272610195e-01
4.591921281768964747e-01,-4.446749719347973251e-01,2.015959415265334009e-01,7.421359950273199724e-01
4.591921281768703289e-01,-4.446749719347652952e-01,2.015959415264680366e-01,7.421359950273731521e-01
