ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.583641472634164701e-03,-1.803940587662130476e-05,-2.147979806728366782e-03
3.583641465871314439e-03,-1.803940587611742180e-05,-2.147979818011355648e-03
3.583641459108463743e-03,-1.803940587561354223e-05,-2.147979829294344081e-03
3.583641452345612613e-03,-1.803940587510966944e-05,-2.147979840577332513e-03
3.583641445582762784e-03,-1.803940587460578987e-05,-2.147979851860321379e-03
3.583641438819911654e-03,-1.803940587410191368e-05,-2.147979863143309378e-03
3.583641432057060958e-03,-1.803940587359803411e-05,-2.147979874426298244e-03
3.583641425294210262e-03,-1.803940587309415454e-05,-2.147979885709286677e-03
3.583641418531359132e-03,-1.803940587259027836e-05,-2.147979896992275109e-03
3.583641411768508436e-03,-1.803940587208640556e-05,-2.147979908275263541e-03
3.583641405005656873e-03,-1.803940587158252260e-05,-2.147979919558252408e-03
3.583641398242806177e-03,-1.803940587107864642e-05,-2.147979930841240840e-03
3.583641391479955047e-03,-1.803940587057477362e-05,-2.147979942124228839e-03
3.583641384717104351e-03,-1.803940587007088727e-05,-2.147979953407217271e-03
3.583641377954253221e-03,-1.803940586956701448e-05,-2.147979964690205704e-03
3.583641371191402525e-03,-1.803940586906313830e-05,-2.147979975973194136e-03
3.583641364428550961e-03,-1.803940586855925534e-05,-2.147979987256182135e-03
3.583641357665700265e-03,-1.803940586805538254e-05,-2.147979998539170567e-03
3.583641350902849135e-03,-1.803940586755150297e-05,-2.147980009822159000e-03
3.583641344139996705e-03,-1.803940586704762340e-05,-2.147980021105147432e-03
3.583641337377146008e-03,-1.803940586654375060e-05,-2.147980032388135431e-03
3.583641330614294445e-03,-1.803940586603987103e-05,-2.147980043671123863e-03
3.583641323851443749e-03,-1.803940586553599485e-05,-2.147980054954112296e-03
3.583641317088591752e-03,-1.803940586503211866e-05,-2.147980066237099861e-03
3.583641310325741056e-03,-1.803940586452823570e-05,-2.147980077520088293e-03
3.583641303562889492e-03,-1.803940586402436291e-05,-2.147980088803075858e-03
3.583641296800037929e-03,-1.803940586352048334e-05,-2.147980100086064291e-03
3.583641290037186365e-03,-1.803940586301660377e-05,-2.147980111369052290e-03
3.583641283274334368e-03,-1.803940586251272758e-05,-2.147980122652040722e-03
3.583641276511482805e-03,-1.803940586200885140e-05,-2.147980133935028721e-03
3.583641269748631241e-03,-1.803940586150497183e-05,-2.147980145218017153e-03
3.583641262985779678e-03,-1.803940586100109226e-05,-2.147980156501005152e-03
3.583641256222928114e-03,-1.803940586049721946e-05,-2.147980167783992717e-03
3.583641249460076551e-03,-1.803940585999333650e-05,-2.147980179066980716e-03
3.583641242697224987e-03,-1.803940585948946032e-05,-2.147980190349968281e-03
3.583641235934373424e-03,-1.803940585898558752e-05,-2.147980201632956280e-03
3.583641229171521426e-03,-1.803940585848170456e-05,-2.147980212915944279e-03
3.583641222408668996e-03,-1.803940585797783177e-05,-2.147980224198931844e-03
3.583641215645817432e-03,-1.803940585747395220e-05,-2.147980235481920276e-03
3.583641208882965001e-03,-1.803940585697006924e-05,-2.147980246764907841e-03
3.583641202120113438e-03,-1.803940585646619644e-05,-2.147980258047895406e-03
3.583641195357261007e-03,-1.803940585596231687e-05,-2.147980269330883405e-03
3.583641188594409444e-03,-1.803940585545844069e-05,-2.147980280613870970e-03
3.583641181831557013e-03,-1.803940585495456450e-05,-2.147980291896858535e-03
3.583641175068705449e-03,-1.803940585445068493e-05,-2.147980303179846534e-03
3.583641168305853018e-03,-1.803940585394680875e-05,-2.147980314462834099e-03
3.583641161543000588e-03,-1.803940585344293256e-05,-2.147980325745821664e-03
3.583641154780148157e-03,-1.803940585293904960e-05,-2.147980337028809663e-03
3.583641148017296593e-03,-1.803940585243517681e-05,-2.147980348311797228e-03
3.583641141254444162e-03,-1.803940585193129724e-05,-2.147980359594785227e-03
3.583641134491591732e-03,-1.803940585142742105e-05,-2.147980370877772792e-03
3.583641127728739301e-03,-1.803940585092354148e-05,-2.147980382160759923e-03
3.583641120965887304e-03,-1.803940585041966869e-05,-2.147980393443747922e-03
3.583641114203034873e-03,-1.803940584991578573e-05,-2.147980404726735053e-03
3.583641107440182442e-03,-1.803940584941190616e-05,-2.147980416009723052e-03
3.583641100677330011e-03,-1.803940584890803336e-05,-2.147980427292709750e-03
3.583641093914476713e-03,-1.803940584840415040e-05,-2.147980438575697315e-03
3.583641087151624282e-03,-1.803940584790027761e-05,-2.147980449858684880e-03
3.583641080388771851e-03,-1.803940584739639803e-05,-2.147980461141672879e-03
3.583641073625919420e-03,-1.803940584689251846e-05,-2.147980472424659143e-03
3.583641066863066122e-03,-1.803940584638864567e-05,-2.147980483707647142e-03
3.583641060100214125e-03,-1.803940584588476610e-05,-2.147980494990634707e-03
3.583641053337361694e-03,-1.803940584538088652e-05,-2.147980506273622272e-03
3.583641046574508396e-03,-1.803940584487701034e-05,-2.147980517556609403e-03
3.583641039811655098e-03,-1.803940584437313077e-05,-2.147980528839596535e-03
3.583641033048802667e-03,-1.803940584386925459e-05,-2.147980540122583666e-03
3.583641026285949802e-03,-1.803940584336537840e-05,-2.147980551405570798e-03
3.583641019523097371e-03,-1.803940584286149883e-05,-2.147980562688558363e-03
3.583641012760244073e-03,-1.803940584235762604e-05,-2.147980573971545060e-03
3.583641005997390775e-03,-1.803940584185374308e-05,-2.147980585254532625e-03
3.583640999234538344e-03,-1.803940584134986689e-05,-2.147980596537519757e-03
3.583640992471685480e-03,-1.803940584084599071e-05,-2.147980607820506888e-03
3.583640985708832181e-03,-1.803940584034211114e-05,-2.147980619103494020e-03
3.583640978945978016e-03,-1.803940583983823495e-05,-2.147980630386481151e-03
3.583640972183125151e-03,-1.803940583933435538e-05,-2.147980641669468282e-03
3.583640965420271853e-03,-1.803940583883048259e-05,-2.147980652952455414e-03
3.583640958657419422e-03,-1.803940583832659963e-05,-2.147980664235442545e-03
3.583640951894565257e-03,-1.803940583782272345e-05,-2.147980675518429243e-03
3.583640945131712392e-03,-1.803940583731884726e-05,-2.147980686801416808e-03
